Brand	Model	URL	Type	Nominal diameter [″]	Nominal diameter [mm]	SPL 1W [dB]	fs [Hz]	Qms	Qes	Qts	xmax [mm]	Power [W]	Pmax [W]	Z [Ω]	Re [Ω]	Le [mH]	Sd [cm²]	Mms [g]	Mmd [g]	Cms [µm/N]	Vas [L]	Rms [N·s/m]
Mark Audio	CHN-70	https://www.markaudio.com/online_shop/ch/chn-70-paper-pair/	Full Range	4	70		71.62	1.848	0.65	0.48	4	18	18	6	5	0.17917	50.270	3.339	3.134	147.9	5.31	
Eighteen Sound	10CX650	loudspeakerdatabase.com/18Sound/10CX650	Coaxial	10	260	93.6	54.0	5.90	0.39	0.35	6.0	200	400	8	5.1	0.9	346.0	39.5	34.8	220	36.4	2.27
Eighteen Sound	10M600	loudspeakerdatabase.com/18Sound/10M600	Mid-range	10	260	97.0	70.0	4.50	0.25	0.23	4.0	400	500	8	5.2	1.28	350.0	32	27.3	162	25.6	3.13
Eighteen Sound	10MB400	loudspeakerdatabase.com/18Sound/10MB400	Woofer	10	260	97.1	70.0	3.50	0.37	0.33	2.5	250	320	8	5.1	1.05	350.0	21	16.3	246	41	2.64
Eighteen Sound	10MB600	loudspeakerdatabase.com/18Sound/10MB600	Woofer	10	260	95.8	58.0	5.50	0.23	0.22	6.5	450	700	8	5.7	1.6	350.0	38	33.3	198	33.4	2.52
Eighteen Sound	10MB600 16Ω	loudspeakerdatabase.com/18Sound/10MB600_16Ω	Woofer	10	260	94.7	64.0	7.06	0.35	0.33	6.5	450	700	16	11.6	2.77	350.0	37	32.3	167	27.6	2.11
Eighteen Sound	10MB777	loudspeakerdatabase.com/18Sound/10MB777	Woofer	10	260	95.8	58.0	5.50	0.23	0.22	6.5	450	700	8	5.7	1.6	350.0	38	33.3	198	33.4	2.52
Eighteen Sound	10NDA610	loudspeakerdatabase.com/18Sound/10NDA610	Mid-range	10	260	100.9	89.0	7.10	0.24	0.23	2.5	400	600	8	5.5	0.06	350.0	30	25.3	107	18	2.36
Eighteen Sound	10NMB420	loudspeakerdatabase.com/18Sound/10NMB420	Woofer	10	260	97.2	56.0	5.00	0.26	0.25	4.0	350	500	8	5.0	0.37	346.0	29.5	24.8	274	40	2.08
Eighteen Sound	10NMB420 16Ω	loudspeakerdatabase.com/18Sound/10NMB420_16Ω	Woofer	10	260	96.7	65.0	4.60	0.36	0.33	4.0	350	500	16	10.5	0.4	346.0	31.5	26.8	190	30	2.8
Eighteen Sound	10NMB500	loudspeakerdatabase.com/18Sound/10NMB500	Low frequency	10	260	99.4	67.0	2.73	0.36	0.32	2.5	250	320	8	5.2	0.2	346.0	20	15.3	283	48.1	3.08
Eighteen Sound	10NMB520	loudspeakerdatabase.com/18Sound/10NMB520	Woofer	10	260	98.5	64.0	4.00	0.36	0.33	4.0	300	600	16	11.7	0.33	340.0	23	18.4	269	43	2.31
Eighteen Sound	10NMBA520	loudspeakerdatabase.com/18Sound/10NMBA520	Woofer	10	260	99.3	60.0	4.20	0.24	0.23	4.0	300	600	8	5.0	0.01	350.0	28	23.3	251	42	2.51
Eighteen Sound	10NTLS2000	loudspeakerdatabase.com/18Sound/10NTLS2000	Subwoofer	10	260	93.6	50.0	4.90	0.27	0.26	7.4	350	700	8	5.2	0.74	346.0	47	42.3	216	38	3.01
Eighteen Sound	10NTLW2000	loudspeakerdatabase.com/18Sound/10NTLW2000	Woofer	10	260	96.1	57.0	7.60	0.22	0.22	4.4	350	700	8	5.2	0.63	346.0	38	33.3	205	31	1.79
Eighteen Sound	10NTLW2000 16Ω	loudspeakerdatabase.com/18Sound/10NTLW2000_16Ω	Woofer	10	260	95.4	58.0	8.00	0.22	0.27	4.4	350	700	16	10.7	0.97	346.0	37	32.3	204	35.4	1.69
Eighteen Sound	10NTLW3500	loudspeakerdatabase.com/18Sound/10NTLW3500	Subwoofer	10	260	93.4	65.0	11.60	0.36	0.35	7.9	800	1600	8	5.1	0.42	346.0	58	53.3	103	16	2.04
Eighteen Sound	10NTLW3500 16Ω	loudspeakerdatabase.com/18Sound/10NTLW3500_16Ω	Woofer	10	260	92.0	64.0	10.80	0.46	0.45	6.4	800	1600	16	11.4	0.69	346.0	58	53.3	107	18.1	2.16
Eighteen Sound	10NW650	loudspeakerdatabase.com/18Sound/10NW650	Woofer	10	260	95.0	51.0	8.00	0.29	0.28	7.0	300	600	8	5.0	0.7	346.0	34	29.3	286	48	1.36
Eighteen Sound	10NW650 16Ω	loudspeakerdatabase.com/18Sound/10NW650_16Ω	Woofer	10	260	94.6	51.0	5.00	0.28	0.27	7.0	300	600	16	12.2	1.55	346.0	34.1	29.4	286	50	2.19
Eighteen Sound	10NW750	loudspeakerdatabase.com/18Sound/10NW750	Subwoofer	10	260	93.3	53.0	5.74	0.32	0.31	7.5	450	900	8	5.8	0.6	340.0	45	40.4	200	34	2.61
Eighteen Sound	10NW750 16Ω	loudspeakerdatabase.com/18Sound/10NW750_16Ω	Woofer	10	260	93.1	52.0	4.36	0.40	0.36	7.1	450	900	16	11.0	0.9	346.0	42	37.3	223	38	3.15
Eighteen Sound	10W500	loudspeakerdatabase.com/18Sound/10W500	Woofer	10	260	94.9	53.0	4.22	0.31	0.29	5.5	280	400	8	6.0	0.72	350.0	33	28.3	273	45.2	2.6
Eighteen Sound	10W650	loudspeakerdatabase.com/18Sound/10W650	Woofer	10	260	93.4	67.0	9.60	0.51	0.48	5.7	250	500	8	5.1	0.59	350.0	36.6	31.9	154	26	1.6
Eighteen Sound	10W650 16Ω	loudspeakerdatabase.com/18Sound/10W650_16Ω	Woofer	10	260	93.7	64.0	8.40	0.43	0.41	5.7	250	500	16	10.2	1.0	350.0	39	34.3	159	27	1.87
Eighteen Sound	12LW1400	loudspeakerdatabase.com/18Sound/12LW1400	Subwoofer	12	300	93.4	45.0	5.00	0.32	0.30	8.25	900	1400	8	5.2	1.5	531.0	88	79.2	142	55	4.98
Eighteen Sound	12LW800	loudspeakerdatabase.com/18Sound/12LW800	Subwoofer	12	300	94.8	52.0	7.60	0.30	0.29	6.5	500	800	8	5.6	1.72	531.0	76.5	67.7	122	48	3.29
