Brand,Model,Type,Vas [L],Qes,Nominal diameter [mm],Nominal diameter [″],URL,Path_TS,Path_FRD,Fs_Hz,Qms,Qts,Re_ohm,Z_ohm,Le_mH,Le_10k_mH,Sd_cm2,Mms_g,Cms_uN,Vas_L,Rms,SPL_dB,Power_W,Pmax_W,Diameter_inch,Diameter_mm,VC_d_mm,Xmax_mm,n0_percent,SPL_1W1m_dB,SPL_2V83_dB,P_nom_W,P_max_W,EBP_Hz,Bl_Tm
-,13FC8,Woofer,6.65,0.41,101.0,3.976377952755906,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/13FC8 Parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/RES 13FC8/13FC8 - 0° R.txt,68.8,1.81,0.33,6.63,,0.61,0.27,80.07785000000001,7.3,730.0,6.65,1.7,89.1,80.0,160.0,3.976377952755906,101.0,,3.0,0.503,89.1,89.9,80.0,160.0,167.8048780487805,7.14
-,6ND430-8,Woofer,9.07,0.33,130.0,5.118110236220473,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/6ND430-8 parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/eighteen_sound_6nd430-8/6ND430-8 - 0ų R.txt,70.5,4.5,0.31,5.5,,0.34,0.25,132.665,14.0,359.99999999999994,9.07,1.3,91.9,260.0,500.0,5.118110236220473,130.0,44.0,5.0,0.9450000000000001,91.9,93.5,260.0,500.0,213.63636363636363,10.32
-,6NDL38-8,Woofer,8.11,0.44,129.0,5.078740157480315,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/6NDL38-8 parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/b-c_speakers_6ndl38-8/6NDL38-8 - 0ų R.txt,69.3,6.01,0.41,5.2,,0.48000000000000004,0.36,130.63185000000001,15.7,340.0,8.11,1.1,89.8,150.0,300.0,5.078740157480315,129.0,38.0,6.0,0.584,89.8,91.7,150.0,300.0,157.5,8.99
-,6NMB420-8,Woofer,6.6,0.36,132.0,5.196850393700788,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/6NMB420-8 parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/18_sound_6nmb420-8/6NMB420-8 - 0ų R.txt,92.0,2.7,0.32,5.22,,0.2,0.16,136.77839999999998,12.0,250.0,6.6,3.0,93.4,200.0,260.0,5.196850393700788,132.0,44.0,3.0,1.36,93.4,95.3,200.0,260.0,255.55555555555557,10.03
-,Fountek FW169,Woofer,19.69,0.59,133.0,5.236220472440945,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Fountek FW169 parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/fountek_fw169/FW169 - 0ų R.txt,38.9,2.81,0.49,6.62,,0.44,0.11,138.85865,23.2,719.9999999999999,19.69,2.0,84.8,50.0,100.0,5.236220472440945,133.0,35.0,5.0,0.187,84.8,85.7,50.0,100.0,65.9322033898305,7.98
-,Monacor SP-6-100PA,Woofer,11.880000000000003,0.47,128.0,5.039370078740157,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SP-6-100PA parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/ciare_pa100/PA100 - 0ų R.txt,59.5,6.1,0.44,6.61,,0.32,0.22,128.61440000000002,14.1,510.00000000000006,11.880000000000003,0.9,89.2,100.0,200.0,5.039370078740157,128.0,40.0,0.75,0.507,89.2,90.0,100.0,200.0,126.59574468085107,8.61
-,Monacor SP-6-108pro,Woofer,24.32,0.38,132.0,5.196850393700788,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SP-6-108pro parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/monacor_sp-6-108pro/SP6108PRO - 0ų R.txt,46.6,4.2,0.35,5.7,,0.67,0.34,136.77839999999998,12.7,920.0,24.32,0.9,90.0,100.0,150.0,5.196850393700788,132.0,30.0,3.0,0.616,90.0,91.5,100.0,150.0,122.63157894736842,7.47
-,Monacor SPE-158-WS,Woofer,2.7300000000000004,2.3,110.0,4.330708661417323,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPE-158-WS parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/monacor_spe-158ws/SPE-158WS - 0ų R.txt,130.0,4.0,1.35,6.5,,,0.24000000000000002,94.985,7.0,210.0,2.7300000000000004,1.4,86.6,15.0,30.0,4.330708661417323,110.0,,,0.281,86.6,87.5,15.0,30.0,56.52173913043479,4.27
-,Monacor SPH-100AL,Woofer,2.15,0.86,83.0,3.2677165354330713,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPH-100AL parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/monacor_sph-100al/SPH-100AL - 0ų R.txt,91.6,3.1,0.67,6.1,,0.37,0.18,54.07865000000001,5.8,520.0000000000001,2.15,1.1,84.7,40.0,80.0,3.2677165354330713,83.0,25.0,1.5,0.183,84.7,85.9,40.0,80.0,106.51162790697674,4.87
-,Monacor SPH-130,Woofer,9.03,0.61,100.0,3.937007874015748,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPH-130 parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/monacor_sph-130/SPH-130 - 0ų R.txt,55.3,2.78,0.5,5.52,,0.47,0.21000000000000002,78.50000000000001,8.0,1040.0000000000002,9.03,1.0,85.9,55.0,80.0,3.937007874015748,100.0,25.0,2.0,0.365,85.9,87.5,55.0,80.0,90.65573770491802,5.02
-,Monacor SPH-135C,Woofer,14.920000000000002,0.33,110.0,4.330708661417323,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPH-135C parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/monacor_sph-135c/SPH-135C - 0ų R.txt,34.7,3.55,0.3,6.0,,0.77,0.42000000000000004,94.985,18.000000000000004,1170.0,14.920000000000002,1.1,84.7,50.0,80.0,4.330708661417323,110.0,35.50000000000001,3.5,0.18,84.7,85.9,50.0,80.0,105.15151515151516,8.45
-,Monacor SPH-145HQ,Woofer,8.51,0.51,101.0,3.976377952755906,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPH-145HQ parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/Monacor SPH-145HQ/SPH145HQ  - 0ų R.txt,60.0,2.65,0.43,5.69,,0.57,0.26,80.07785,7.5,940.0,8.51,1.1,87.5,50.0,100.0,3.976377952755906,101.0,25.0,3.5,0.343,87.5,88.9,50.0,100.0,117.6470588235294,5.62
-,Monacor SPH-165,Woofer,20.78,0.25,129.0,5.078740157480315,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPH-165 parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/monacor_sph-165/SPH-165 - 0ų R.txt,36.5,2.28,0.23,6.49,,1.3000000000000003,0.52,130.63185000000001,22.1,860.0,20.78,2.2,88.0,50.0,100.0,5.078740157480315,129.0,35.50000000000001,3.5,0.385,88.0,88.9,50.0,100.0,146.0,11.47
-,Monacor SPH-165CP,Woofer,19.51,0.76,129.0,5.078740157480315,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPH-165CP parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/monacor_sph-165cp/SPH-165CP - 0ų R.txt,46.5,2.61,0.59,6.43,,0.5,0.25,130.63185000000001,14.5,810.0000000000001,19.51,1.6,86.0,50.0,80.0,5.078740157480315,129.0,25.0,3.0,0.365,86.0,87.0,50.0,80.0,61.18421052631579,5.99
-,Monacor SPH-170,Woofer,22.0,0.35,128.0,5.039370078740157,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPH-170 parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/MONACOR SPH-170/SPH-170 - 0ų R.txt,35.83,5.5,0.33,6.07,,0.7800000000000001,0.41,128.61440000000002,21.0,940.0,22.0,0.9,86.5,80.0,120.0,5.039370078740157,128.0,50.0,4.75,0.275,86.5,87.7,80.0,120.0,102.37142857142857,9.05
